Country,Region,Sea-LevelRiseScenarios,ImpactedGDP,TotalGDP,PercentageofGDPimpacted,TotalRegionGDP,PercentageRegion
"Congo, Dem. Rep.",Sub-Saharan Africa,4 meter,17,37331,0.04553856,11076,1.097401845
Cameroon,Sub-Saharan Africa,4 meter,220,24386,0.902156975,11076,1.097401845
Djibouti,Sub-Saharan Africa,4 meter,19,1487,1.277740417,11076,1.097401845
Equatorial Guinea,Sub-Saharan Africa,4 meter,2,960,0.208333333,11076,1.097401845
Ethiopia,Sub-Saharan Africa,4 meter,181,49241,0.367579862,11076,1.097401845
Gambia,Sub-Saharan Africa,4 meter,375,2567,14.6084924,11076,1.097401845
Gabon,Sub-Saharan Africa,4 meter,55,7385,0.744752877,11076,1.097401845
Ghana,Sub-Saharan Africa,4 meter,644,42213,1.52559638,11076,1.097401845
Guinea,Sub-Saharan Africa,4 meter,642,14174,4.529420065,11076,1.097401845
Ivory Coast,Sub-Saharan Africa,4 meter,526,24159,2.177242436,11076,1.097401845
Kenya,Sub-Saharan Africa,4 meter,98,29623,0.330824022,11076,1.097401845
Liberia,Sub-Saharan Africa,4 meter,60,3350,1.791044776,11076,1.097401845
Madagascar,Sub-Saharan Africa,4 meter,114,12577,0.906416475,11076,1.097401845
Mauritania,Sub-Saharan Africa,4 meter,1081,4972,21.74175382,11076,1.097401845
Mozambique,Sub-Saharan Africa,4 meter,1127,17660,6.381653454,11076,1.097401845
Nigeria,Sub-Saharan Africa,4 meter,2083,109412,1.90381311,11076,1.097401845
Guinea-Bissau,Sub-Saharan Africa,4 meter,128,1150,11.13043478,11076,1.097401845
South Africa,Sub-Saharan Africa,4 meter,836,470466,0.177696157,11076,1.097401845
Senegal,Sub-Saharan Africa,4 meter,1348,13848,9.734257655,11076,1.097401845
Sierra Leone,Sub-Saharan Africa,4 meter,32,2285,1.400437637,11076,1.097401845
Somalia,Sub-Saharan Africa,4 meter,10,4300,0.23255814,11076,1.097401845
Sudan,Sub-Saharan Africa,4 meter,61,62128,0.098184394,11076,1.097401845
Togo,Sub-Saharan Africa,4 meter,45,7493,0.600560523,11076,1.097401845
Sao Tome and Principe,Sub-Saharan Africa,4 meter,0,178,0,11076,1.097401845
Tanzania,Sub-Saharan Africa,4 meter,45,17035,0.264162019,11076,1.097401845
Namibia,Sub-Saharan Africa,4 meter,4,12417,0.0322139,11076,1.097401845
Angola,Sub-Saharan Africa,5 meter,476,27653,1.721332224,13909,1.378093378
Benin,Sub-Saharan Africa,5 meter,976,5962,16.37034552,13909,1.378093378
"Congo, Rep.",Sub-Saharan Africa,5 meter,17,2881,0.590072891,13909,1.378093378
"Congo, Dem. Rep.",Sub-Saharan Africa,5 meter,17,37331,0.04553856,13909,1.378093378
Cameroon,Sub-Saharan Africa,5 meter,288,24386,1.181005495,13909,1.378093378
Djibouti,Sub-Saharan Africa,5 meter,19,1487,1.277740417,13909,1.378093378
Equatorial Guinea,Sub-Saharan Africa,5 meter,2,960,0.208333333,13909,1.378093378
Ethiopia,Sub-Saharan Africa,5 meter,189,49241,0.383826486,13909,1.378093378
Gambia,Sub-Saharan Africa,5 meter,448,2567,17.45227892,13909,1.378093378
Gabon,Sub-Saharan Africa,5 meter,81,7385,1.096817874,13909,1.378093378
Ghana,Sub-Saharan Africa,5 meter,950,42213,2.250491555,13909,1.378093378
Guinea,Sub-Saharan Africa,5 meter,911,14174,6.427261182,13909,1.378093378
Ivory Coast,Sub-Saharan Africa,5 meter,772,24159,3.195496502,13909,1.378093378
Kenya,Sub-Saharan Africa,5 meter,135,29623,0.455726969,13909,1.378093378
Liberia,Sub-Saharan Africa,5 meter,60,3350,1.791044776,13909,1.378093378
Madagascar,Sub-Saharan Africa,5 meter,162,12577,1.288065516,13909,1.378093378
Mauritania,Sub-Saharan Africa,5 meter,1297,4972,26.08608206,13909,1.378093378
Mozambique,Sub-Saharan Africa,5 meter,1257,17660,7.117780294,13909,1.378093378
Nigeria,Sub-Saharan Africa,5 meter,3027,109412,2.766606954,13909,1.378093378
Guinea-Bissau,Sub-Saharan Africa,5 meter,160,1150,13.91304348,13909,1.378093378
South Africa,Sub-Saharan Africa,5 meter,889,470466,0.188961583,13909,1.378093378
Senegal,Sub-Saharan Africa,5 meter,1503,13848,10.85355286,13909,1.378093378
Sierra Leone,Sub-Saharan Africa,5 meter,50,2285,2.188183807,13909,1.378093378
Somalia,Sub-Saharan Africa,5 meter,17,4300,0.395348837,13909,1.378093378
Sudan,Sub-Saharan Africa,5 meter,97,62128,0.156129281,13909,1.378093378
Togo,Sub-Saharan Africa,5 meter,51,7493,0.68063526,13909,1.378093378
Sao Tome and Principe,Sub-Saharan Africa,5 meter,0,178,0,13909,1.378093378
Tanzania,Sub-Saharan Africa,5 meter,51,17035,0.299383622,13909,1.378093378
Namibia,Sub-Saharan Africa,5 meter,7,12417,0.056374326,13909,1.378093378
Myanmar (Burma),East Asia,1 meter,613,63700,0.962323391,158428,2.090849846
Brunei,East Asia,1 meter,0,5900,0,158428,2.090849846
Cambodia,East Asia,1 meter,223,21106,1.056571591,158428,2.090849846
China,East Asia,1 meter,113390,4724163,2.40021354,158428,2.090849846
Indonesia,East Asia,1 meter,11558,613299,1.884562016,158428,2.090849846
North Korea,East Asia,1 meter,22,22000,0.1,158428,2.090849846
South Korea,East Asia,1 meter,1468,691772,0.212208647,158428,2.090849846
Malaysia,East Asia,1 meter,1165,211738,0.550208276,158428,2.090849846
Papua New Guinea,East Asia,1 meter,8,13927,0.057442378,158428,2.090849846
Philippines,East Asia,1 meter,1805,290338,0.621689204,158428,2.090849846
Thailand,East Asia,1 meter,5372,378476,1.419376658,158428,2.090849846
Taiwan China,East Asia,1 meter,6999,386000,1.813212435,158428,2.090849846
Vietnam,East Asia,1 meter,15805,154787,10.21080582,158428,2.090849846
Myanmar (Burma),East Asia,2 meter,1257,63700,1.973312402,255550,3.372615183
Brunei,East Asia,2 meter,0,5900,0,255550,3.372615183
Cambodia,East Asia,2 meter,552,21106,2.615370037,255550,3.372615183
China,East Asia,2 meter,177883,4724163,3.765386588,255550,3.372615183
Indonesia,East Asia,2 meter,18776,613299,3.061475724,255550,3.372615183
North Korea,East Asia,2 meter,37,22000,0.168181818,255550,3.372615183
South Korea,East Asia,2 meter,2846,691772,0.411407227,255550,3.372615183
Malaysia,East Asia,2 meter,2534,211738,1.196762036,255550,3.372615183
Papua New Guinea,East Asia,2 meter,12,13927,0.086163567,255550,3.372615183
Philippines,East Asia,2 meter,4104,290338,1.413524926,255550,3.372615183
Thailand,East Asia,2 meter,10411,378476,2.750768873,255550,3.372615183
Taiwan China,East Asia,2 meter,11616,386000,3.009326425,255550,3.372615183
Vietnam,East Asia,2 meter,25522,154787,16.48846479,255550,3.372615183
Myanmar (Burma),East Asia,3 meter,2529,63700,3.970172684,394129,5.201508313
Brunei,East Asia,3 meter,0,5900,0,394129,5.201508313
Cambodia,East Asia,3 meter,1045,21106,4.951198711,394129,5.201508313
China,East Asia,3 meter,263878,4724163,5.585709045,394129,5.201508313
Indonesia,East Asia,3 meter,30278,613299,4.936906794,394129,5.201508313
North Korea,East Asia,3 meter,92,22000,0.418181818,394129,5.201508313
South Korea,East Asia,3 meter,4130,691772,0.597017514,394129,5.201508313
Malaysia,East Asia,3 meter,3716,211738,1.754999103,394129,5.201508313
Papua New Guinea,East Asia,3 meter,16,13927,0.114884756,394129,5.201508313
Philippines,East Asia,3 meter,6165,290338,2.123387225,394129,5.201508313
Thailand,East Asia,3 meter,28230,378476,7.458861328,394129,5.201508313
Taiwan China,East Asia,3 meter,16631,386000,4.308549223,394129,5.201508313
Vietnam,East Asia,3 meter,37419,154787,24.17451078,394129,5.201508313
Myanmar (Burma),East Asia,4 meter,4562,63700,7.161695447,592657,7.821576977
Brunei,East Asia,4 meter,6,5900,0.101694915,592657,7.821576977
Cambodia,East Asia,4 meter,1627,21106,7.708708424,592657,7.821576977
China,East Asia,4 meter,389835,4724163,8.251937962,592657,7.821576977
Indonesia,East Asia,4 meter,43271,613299,7.0554493,592657,7.821576977
North Korea,East Asia,4 meter,175,22000,0.795454545,592657,7.821576977
South Korea,East Asia,4 meter,6198,691772,0.895959941,592657,7.821576977
Malaysia,East Asia,4 meter,7356,211738,3.47410479,592657,7.821576977
Papua New Guinea,East Asia,4 meter,29,13927,0.208228621,592657,7.821576977
Philippines,East Asia,4 meter,9845,290338,3.390875462,592657,7.821576977
Thailand,East Asia,4 meter,61179,378476,16.16456526,592657,7.821576977
Taiwan China,East Asia,4 meter,21065,386000,5.457253886,592657,7.821576977
Vietnam,East Asia,4 meter,47509,154787,30.69314607,592657,7.821576977
Myanmar (Burma),East Asia,5 meter,7542,63700,11.83987441,773176,10.20397228
Brunei,East Asia,5 meter,179,5900,3.033898305,773176,10.20397228
Cambodia,East Asia,5 meter,2378,21106,11.26693831,773176,10.20397228
China,East Asia,5 meter,510437,4724163,10.80481347,773176,10.20397228
Indonesia,East Asia,5 meter,49768,613299,8.114802079,773176,10.20397228
North Korea,East Asia,5 meter,679,22000,3.086363636,773176,10.20397228
South Korea,East Asia,5 meter,8803,691772,1.272529099,773176,10.20397228
